Entity Name,Description,Category,Image,Link,Size,Show,Fixed,X,Y
marcnixonofficial,"<a href=""https://www.instagram.com/marcnixonofficial/"">Real estate, economics, mortgages and politics in Canada</a>

54600 followers","Anti-Trans,Conspiracy,Christian identity,Anti-China,Anti-immigration,Overt racism,""Tough on crime"",Climate change denial,Pro-Conservative Party,Anti-left propoganda",,,"54,600",true,false,,
michelleferrericanada,"<a href=""https://www.instagram.com/michelleferrericanada/"">Politics. Purpose. Personality.</a>

117000 followers","Anti-Trans,Anti-China,Anti-immigration,""Tough on crime"",Pro-Conservative Party,Anti-left propoganda",,,"117,000",true,false,,
patriotcanadians,"<a href=""https://www.instagram.com/patriotcanadians/?hl=en"">Fueling the flames of patriotism as proud Patriot Canadians.</a>

45000 followers","Anti-immigration,""Tough on crime"",Pro-UCP,Anti-left propoganda",,,"45,000",true,false,,
mannybal2021,"<a href=""https://www.instagram.com/mannybal2021/?hl=en"">""Sponsor me! 📸 Influencer & brand collaborations</a>

5400 followers","Conspiracy,Alberta separatist,Pro-Conservative Party,Pro-UCP,Anti-left propoganda",,,"5,400",true,false,,
truepatriotscanada,"<a href=""https://www.instagram.com/truepatriotscanada/?hl=en"">Fighting for a glorious & free nation</a>

12400 followers","Conspiracy,Christian identity,Anti-immigration,White identity,Overt racism,""Tough on crime"",Anti-government",,,"12,400",true,false,,
puckdaddy93,"<a href=""https://www.instagram.com/puckdaddy93/?hl=en"">🇨🇦Canada First Movement</a>

31500 followers","Anti-Trans,Anti-reconciliation,Conspiracy,Christian identity,Anti-China,Anti-immigration,White identity,Overt racism,""Tough on crime"",Anti-government",,,"31,500",true,false,,
secondsonsca,"<a href=""https://www.instagram.com/secondsonsca/?hl=en"">Canadian Men's Nationalist Club</a>

37800 followers","Conspiracy,Anti-immigration,White identity,Overt racism,""Tough on crime"",Anti-government",,,"37,800",true,false,,
standunited.canada,"<a href=""https://www.instagram.com/standunited.canada/?hl=en"">Bold truth. Strong faith. Real freedom</a>

4800 followers","Anti-Trans,Anti-vaccine,Conspiracy,Christian identity,Anti-immigration,White identity,""Tough on crime"",Anti-government,Anti-left propoganda",,,"4,800",true,false,,
6ixnewzz,"<a href=""https://www.instagram.com/6ixnewzz/?hl=en"">DM For Credit / Removal</a>

51000 followers","Anti-Trans,Conspiracy,Anti-immigration,White identity,Overt racism,""Tough on crime"",MAGA,Anti-left propoganda",,,"51,000",true,false,,
emmy_rocket,"<a href=""https://www.instagram.com/emmy_rocket/?hl=en"">Canada's favorite IG (HIStory buff) ƁA$3D. Ŧrue stories that mainstream won't cover</a>

2300 followers","Anti-Trans,Conspiracy,Christian identity,Anti-immigration,White identity,Overt racism",,,"2,300",true,false,,
nova_scotian_81,"<a href=""https://www.instagram.com/nova_scotian_81/?hl=en"">I ❤️ Jesus ✝️, Single, Imperfect Christian, Coffee</a>

887 followers",,,,887,true,false,,
universalostrichfarms,"<a href=""https://www.instagram.com/universalostrichfarms/?hl=en"">Katie, Karen & Dave welcome you to Universal Ostrich Farms</a>

2500 followers",Anti-government,,,"2,500",true,false,,
ice cubes sandwiches,"<a href=""https://www.instagram.com/icecubesandwiches/?hl=en"">personal blog</a>

17200 followers","Conspiracy,Anti-immigration,White identity,Overt racism,""Tough on crime"",Climate change denial,Anti-left propoganda",,,"17,200",true,false,,
girlwiththenews,"<a href=""https://www.instagram.com/girlwiththenews/?hl=en"">Canadian news is blocked, journalists aren’t!</a>

8800 followers",,,,"8,800",true,false,,
